real	estimada
16	948
61	1313
0	0
185	1604
396	1845
0	156
16	29
0	186
0	314
0	0
0	75
0	399
91	1462
71	779
200	1686
0	296
1	0
0	0
49	1241
452	2153
0	259
214	2097
104	1591
0	0
0	0
11	168
554	2278
0	0
238	1977
0	0
561	2499
3	404
0	399
1	56
56	1167
429	2223
0	0
67	398
0	0
495	2318
1	399
400	2074
0	53
13	206
0	0
85	1640
275	1774
53	1176
0	0
185	1231
351	1341
83	719
63	1333
0	0
200	733
0	0
61	564
138	1798
9	511
11	943
246	2138
3	51
0	48
0	0
0	114
122	1669
493	2291
0	0
153	1062
0	0
7	23
49	1309
0	0
2	104
11	24
292	1905
0	0
62	679
333	1412
0	107
111	1843
0	0
432	2481
10	199
0	0
245	2095
0	0
0	0
1	32
0	0
57	1196
1	1
105	1745
0	0
0	0
199	1631
203	1634
434	2072
0	201
0	0
344	1998
0	2
4	168
1	11
3	52
0	201
0	0
1	14
239	1056
235	1739
0	0
111	1736
10	69
0	60
245	1759
29	563
0	0
0	0
1	51
344	1550
15	327
0	128
27	1126
4	252
59	570
4	160
86	1426
72	1109
1	59
24	1147
54	337
19	743
51	1110
0	60
584	2472
27	1183
0	0
0	0
2	402
0	229
0	0
173	1525
0	0
169	2005
6	794
152	641
0	4
234	1279
171	2051
85	322
0	0
0	105
21	752
184	863
40	820
290	2107
196	1692
10	317
26	729
2	224
190	1677
0	0
318	1673
0	254
0	0
0	79
47	1223
43	978
19	1201
211	1726
0	0
0	233
389	1492
0	0
0	0
0	168
2	112
0	0
44	666
90	1139
0	0
129	1778
0	0
3	389
149	1835
13	1054
0	0
71	1318
39	1037
183	1662
62	1281
0	70
0	1
0	0
194	1206
0	0
233	1950
196	1694
40	1118
0	0
0	0
0	0
408	1753
7	143
105	1317
6	482
0	0
95	1718
38	994
0	0
0	0
8	622
115	842
0	0
0	0
0	0
0	0
0	0
0	0
23	1233
36	914
148	1686
0	0
0	0
164	1892
18	1173
0	0
20	945
287	2183
2	401
0	0
0	363
0	0
0	0
53	551
0	400
113	1883
0	336
0	175
381	2066
30	1187
1	1
0	58
0	0
0	228
12	838
0	60
17	1164
0	0
0	282
13	1035
19	1166
5	179
4	516
270	1368
0	0
486	2229
219	1730
104	1673
0	0
54	1143
0	0
398	1730
0	0
10	532
189	1682
127	1801
2	373
431	1939
193	1104
0	118
297	1831
0	0
201	1946
129	1801
1	28
0	0
7	407
3	38
270	2200
0	0
0	0
0	0
37	851
67	708
399	1652
0	0
0	0
0	0
42	1115
0	49
0	0
15	877
20	448
97	1697
62	1368
131	1072
0	267
590	2503
0	36
29	630
0	0
129	1755
18	1225
0	257
10	511
0	0
0	25
0	315
0	0
63	1312
0	0
58	616
208	1635
1	18
0	0
314	1786
461	2322
15	612
0	0
0	0
0	0
81	1234
448	2290
98	1692
0	0
0	1
8	324
21	857
0	0
0	56
36	998
135	1226
311	1904
26	1070
185	1956
1	10
95	1552
9	359
0	126
198	1668
0	262
0	232
12	986
66	1277
0	59
0	0
0	59
0	400
0	0
14	1077
373	2070
0	0
0	19
10	387
34	650
0	0
1	99
0	0
251	1025
47	1243
121	443
590	2472
46	1140
0	59
0	0
1	28
90	867
72	1284
65	1300
24	1054
0	0
81	1030
0	0
2	401
227	926
0	0
16	1175
29	1064
28	415
0	0
18	849
16	1034
1	387
1	52
1	11
0	0
4	75
0	0
0	361
0	400
0	0
0	0
0	0
0	4
15	866
17	1088
88	1454
29	636
0	0
331	2026
34	720
43	1110
0	0
15	554
0	52
38	1039
440	2224
0	59
24	970
118	1534
21	1207
30	1003
32	1379
20	783
0	180
0	0
3	51
284	1864
13	735
0	0
42	1069
0	259
3	406
0	0
30	995
0	344
37	956
20	1041
0	0
0	0
0	0
0	0
37	1073
0	139
36	1080
19	1186
7	104
343	1705
0	255
0	0
0	0
59	393
306	1356
15	612
273	1858
85	1610
27	1042
1	105
30	959
181	1589
28	1461
20	979
0	346
169	1913
16	846
3	11
0	0
113	1734
96	1541
0	3
207	1044
511	2432
44	930
24	966
1	159
26	427
182	1968
0	80
103	1633
0	189
22	863
0	77
22	396
0	405
2	271
0	0
191	937
18	1198
143	1509
41	1008
19	1164
163	1890
60	1287
0	0
0	0
185	1578
252	2168
0	400
17	1209
205	1678
0	0
0	0
0	12
0	136
0	0
112	1008
0	59
275	1779
32	446
