 -60.04858  -24.58494 0.000000
 -60.04858  -24.15168 0.000000
 -60.04858  -23.71842 0.000000
 -60.04858  -23.28515 0.000000
 -60.04858  -22.85189 0.000000
 -60.04858  -22.41863 0.000000
 -60.04858  -21.98537 0.000000
 -60.04858  -21.55211 0.000000
 -60.04858  -21.11884 0.000000
 -60.04858  -20.68558 0.000000
 -60.04858  -20.25232 0.000000
 -60.04858  -19.81906 0.000000
 -60.04858  -19.38579 0.000000
 -60.04858  -18.95253 0.000000
 -60.04858  -18.51927 0.000000
 -60.04858  -18.08601 0.000000
 -60.04858  -17.65275 0.000000
 -60.04858  -17.21948 0.000000
 -60.04858  -16.78622 0.000000
 -60.04858  -16.35296 0.000000
 -60.04858  -15.91970 0.000000
 -60.04858  -15.48644 0.000000
 -60.04858  -15.05317 0.000000
 -60.04858  -14.61991 0.000000
 -60.04858  -14.18665 26.000000
 -60.04858  -13.75339 0.000000
 -60.04858  -13.32012 15.597937
 -60.04858  -12.88686 34.402063
 -60.04858  -12.45360 11.000000
 -60.04858  -12.02034 0.000000
 -60.04858  -11.58708 0.000000
 -60.04858  -11.15381 0.000000
 -60.04858  -10.72055 0.000000
 -60.04858  -10.28729 0.000000
 -60.04858   -9.85403 0.000000
 -60.04858   -9.42077 0.000000
 -60.04858   -8.98750 0.000000
 -60.04858   -8.55424 0.000000
 -60.04858   -8.12098 0.000000
 -60.04858   -7.68772 0.000000
 -60.04858   -7.25445 0.000000
 -60.04858   -6.82119 0.000000
 -60.04858   -6.38793 0.000000
 -60.04858   -5.95467 0.000000
 -60.04858   -5.52141 0.000000
 -60.04858   -5.08814 0.000000
 -60.04858   -4.65488 0.000000
 -60.04858   -4.22162 0.000000
 -60.04858   -3.78836 0.000000
 -60.04858   -3.35510 0.000000
 -59.68377  -24.58494 0.000000
 -59.68377  -24.15168 0.000000
 -59.68377  -23.71842 0.000000
 -59.68377  -23.28515 0.000000
 -59.68377  -22.85189 0.000000
 -59.68377  -22.41863 0.000000
 -59.68377  -21.98537 0.000000
 -59.68377  -21.55211 0.000000
 -59.68377  -21.11884 0.000000
 -59.68377  -20.68558 0.000000
 -59.68377  -20.25232 0.000000
 -59.68377  -19.81906 0.000000
 -59.68377  -19.38579 0.000000
 -59.68377  -18.95253 0.000000
 -59.68377  -18.51927 0.000000
 -59.68377  -18.08601 0.000000
 -59.68377  -17.65275 0.000000
 -59.68377  -17.21948 0.000000
 -59.68377  -16.78622 0.000000
 -59.68377  -16.35296 0.000000
 -59.68377  -15.91970 0.000000
 -59.68377  -15.48644 0.000000
 -59.68377  -15.05317 0.000000
 -59.68377  -14.61991 48.742630
 -59.68377  -14.18665 47.168380
 -59.68377  -13.75339 8.951949
 -59.68377  -13.32012 3.000000
 -59.68377  -12.88686 0.000000
 -59.68377  -12.45360 1.000000
 -59.68377  -12.02034 2.303362
 -59.68377  -11.58708 0.000000
 -59.68377  -11.15381 0.000000
 -59.68377  -10.72055 0.000000
 -59.68377  -10.28729 0.000000
 -59.68377   -9.85403 0.000000
 -59.68377   -9.42077 0.000000
 -59.68377   -8.98750 0.000000
 -59.68377   -8.55424 0.000000
 -59.68377   -8.12098 0.000000
 -59.68377   -7.68772 0.000000
 -59.68377   -7.25445 0.000000
 -59.68377   -6.82119 0.000000
 -59.68377   -6.38793 0.000000
 -59.68377   -5.95467 0.000000
 -59.68377   -5.52141 0.000000
 -59.68377   -5.08814 0.000000
 -59.68377   -4.65488 0.000000
 -59.68377   -4.22162 0.000000
 -59.68377   -3.78836 0.000000
 -59.68377   -3.35510 0.000000
 -59.31897  -24.58494 0.000000
 -59.31897  -24.15168 0.000000
 -59.31897  -23.71842 0.000000
 -59.31897  -23.28515 0.000000
 -59.31897  -22.85189 0.000000
 -59.31897  -22.41863 0.000000
 -59.31897  -21.98537 0.000000
 -59.31897  -21.55211 0.000000
 -59.31897  -21.11884 0.000000
 -59.31897  -20.68558 0.000000
 -59.31897  -20.25232 0.000000
 -59.31897  -19.81906 0.000000
 -59.31897  -19.38579 0.000000
 -59.31897  -18.95253 0.000000
 -59.31897  -18.51927 0.000000
 -59.31897  -18.08601 0.000000
 -59.31897  -17.65275 0.000000
 -59.31897  -17.21948 0.000000
 -59.31897  -16.78622 0.000000
 -59.31897  -16.35296 0.000000
 -59.31897  -15.91970 0.000000
 -59.31897  -15.48644 0.000000
 -59.31897  -15.05317 24.655537
 -59.31897  -14.61991 53.469084
 -59.31897  -14.18665 54.218996
 -59.31897  -13.75339 41.865240
 -59.31897  -13.32012 68.512808
 -59.31897  -12.88686 0.000000
 -59.31897  -12.45360 0.000000
 -59.31897  -12.02034 12.057870
 -59.31897  -11.58708 23.638768
 -59.31897  -11.15381 0.000000
 -59.31897  -10.72055 0.000000
 -59.31897  -10.28729 0.000000
 -59.31897   -9.85403 0.000000
 -59.31897   -9.42077 0.000000
 -59.31897   -8.98750 0.000000
 -59.31897   -8.55424 0.000000
 -59.31897   -8.12098 0.000000
 -59.31897   -7.68772 0.000000
 -59.31897   -7.25445 0.000000
 -59.31897   -6.82119 0.000000
 -59.31897   -6.38793 0.000000
 -59.31897   -5.95467 0.000000
 -59.31897   -5.52141 0.000000
 -59.31897   -5.08814 0.000000
 -59.31897   -4.65488 0.000000
 -59.31897   -4.22162 0.000000
 -59.31897   -3.78836 0.000000
 -59.31897   -3.35510 0.000000
 -58.95416  -24.58494 0.000000
 -58.95416  -24.15168 0.000000
 -58.95416  -23.71842 0.000000
 -58.95416  -23.28515 0.000000
 -58.95416  -22.85189 0.000000
 -58.95416  -22.41863 0.000000
 -58.95416  -21.98537 0.000000
 -58.95416  -21.55211 0.000000
 -58.95416  -21.11884 0.000000
 -58.95416  -20.68558 0.000000
 -58.95416  -20.25232 0.000000
 -58.95416  -19.81906 0.000000
 -58.95416  -19.38579 0.000000
 -58.95416  -18.95253 0.000000
 -58.95416  -18.51927 0.000000
 -58.95416  -18.08601 0.000000
 -58.95416  -17.65275 0.000000
 -58.95416  -17.21948 0.000000
 -58.95416  -16.78622 0.000000
 -58.95416  -16.35296 0.000000
 -58.95416  -15.91970 0.000000
 -58.95416  -15.48644 1.000000
 -58.95416  -15.05317 8.047757
 -58.95416  -14.61991 35.351291
 -58.95416  -14.18665 29.255746
 -58.95416  -13.75339 24.035525
 -58.95416  -13.32012 50.101799
 -58.95416  -12.88686 57.602898
 -58.95416  -12.45360 0.217565
 -58.95416  -12.02034 41.227484
 -58.95416  -11.58708 9.000000
 -58.95416  -11.15381 0.000000
 -58.95416  -10.72055 0.000000
 -58.95416  -10.28729 0.000000
 -58.95416   -9.85403 0.000000
 -58.95416   -9.42077 0.000000
 -58.95416   -8.98750 0.000000
 -58.95416   -8.55424 0.000000
 -58.95416   -8.12098 0.000000
 -58.95416   -7.68772 0.000000
 -58.95416   -7.25445 0.000000
 -58.95416   -6.82119 0.000000
 -58.95416   -6.38793 0.000000
 -58.95416   -5.95467 0.000000
 -58.95416   -5.52141 0.000000
 -58.95416   -5.08814 0.000000
 -58.95416   -4.65488 0.000000
 -58.95416   -4.22162 0.000000
 -58.95416   -3.78836 0.000000
 -58.95416   -3.35510 0.000000
 -58.58936  -24.58494 0.000000
 -58.58936  -24.15168 0.000000
 -58.58936  -23.71842 0.000000
 -58.58936  -23.28515 0.000000
 -58.58936  -22.85189 0.000000
 -58.58936  -22.41863 0.000000
 -58.58936  -21.98537 0.000000
 -58.58936  -21.55211 0.000000
 -58.58936  -21.11884 0.000000
 -58.58936  -20.68558 0.000000
 -58.58936  -20.25232 0.000000
 -58.58936  -19.81906 0.000000
 -58.58936  -19.38579 0.000000
 -58.58936  -18.95253 0.000000
 -58.58936  -18.51927 0.000000
 -58.58936  -18.08601 0.000000
 -58.58936  -17.65275 0.000000
 -58.58936  -17.21948 0.000000
 -58.58936  -16.78622 0.000000
