real	estimada
670	33910
526	21166
1	3682
70	22782
18	3257
1	264
55	7372
10	2514
125	22348
913	24427
17	3513
0	0
109	12115
399	29163
5	906
65	23904
71	22826
0	0
8	551
0	4161
63	22705
153	22053
44	5879
539	27037
1	102
1	220
51	24013
106	22379
191	24411
0	3495
0	0
6	1484
0	0
1	132
88	13431
54	27139
620	34449
53	26042
346	11207
1	1112
0	829
1	2246
1436	26835
15	3729
0	0
176	23755
68	6799
62	9352
414	30463
0	437
31	15973
54	4280
57	27066
814	14058
111	14553
0	2681
74	25443
144	10234
1	2244
0	2464
0	0
1	19
99	8800
0	0
152	22166
179	8828
146	20635
105	23075
23	12864
1374	26036
69	9363
69	15884
58	25377
2	117
0	0
1	437
0	0
99	23310
0	0
1526	30602
576	30302
46	7285
0	0
45	19178
1	3193
0	0
0	0
1164	19237
0	1911
2	62
0	0
18	3152
102	21430
1356	29020
0	0
516	8059
557	21604
0	0
621	11840
1	331
0	0
7	1349
1	298
53	26990
880	25955
601	22093
694	13156
187	24514
49	4026
0	0
1	477
0	0
82	10464
59	23764
0	0
1	4653
0	0
0	0
2	3939
795	35031
17	1531
0	1683
585	27263
0	0
61	26736
0	0
0	0
1	15
1	2729
30	20993
2	738
313	25706
0	8
15	3548
0	0
74	14061
212	22475
57	25852
182	2675
80	7355
938	24948
875	24201
17	2569
0	3667
10	2300
83	21414
0	5533
0	0
1144	29483
1	458
10	1826
0	848
1332	22182
15	2239
47	16933
0	0
112	23800
0	0
536	35260
80	24657
415	30638
111	15925
1	334
118	13767
1318	22974
250	27684
151	21856
22	13472
997	28120
0	0
9	1955
0	2347
1054	36313
1233	27810
54	22722
2	5048
5	465
0	0
371	17358
75	25085
72	22933
74	21775
90	11441
118	20686
426	16734
0	3499
77	22408
6	638
55	25392
25	2314
677	11639
0	2319
13	4208
847	29126
0	0
118	16382
593	18027
2	133
0	3953
980	27667
34	6742
1485	24458
1	541
0	0
1321	28430
5	588
157	20885
581	33578
717	24969
0	6013
247	5601
0	0
0	0
0	101
97	23856
0	0
73	11470
167	4413
45	4779
75	25130
285	21546
352	22844
2	88
83	19750
1	46
47	18638
3	448
765	36790
2	5421
0	0
654	11775
380	26819
566	33454
216	25077
0	2491
184	24565
52	11019
78	22913
1	600
0	0
216	5262
6	2557
7	1038
0	0
0	0
10	1690
0	1116
817	35574
11	748
14	1242
1029	27854
464	6369
87	23558
457	10170
14	7958
1395	30564
1	248
0	0
665	32858
2	5202
904	17025
1	2211
691	34390
1	2947
0	0
1	61
429	32659
22	9141
582	11115
3	411
409	12343
364	21169
0	0
722	28889
529	34308
7	3827
0	1001
7	633
2	539
12	8141
0	0
71	8808
647	34138
18	3405
442	30736
61	8057
17	10473
7	5846
3	5615
153	22107
146	18943
16	3359
115	15075
86	21115
719	25758
666	27716
142	23818
0	0
0	0
0	5318
971	17145
599	23676
11	7363
60	25236
311	29265
27	16324
1	1279
55	806
0	3371
4	37
0	0
284	25369
1032	16872
185	23378
0	0
909	23226
128	19309
0	0
19	3793
803	27406
183	11301
195	25197
0	0
269	13114
0	4222
0	0
1432	23946
21	7152
55	27180
84	9746
0	0
0	0
216	20582
30	17821
0	37
58	18533
79	23578
812	30713
1	1765
26	18563
97	8290
104	1491
0	0
0	0
602	10893
126	22389
56	2187
342	26411
392	13271
72	16368
53	25597
614	36346
1239	19599
1	795
39	13121
0	0
704	36442
95	13799
554	7513
1357	30211
86	23942
1042	28809
1	500
67	22140
873	25802
78	12806
0	0
42	15684
0	0
65	8154
0	0
342	31294
798	31978
1	65
317	13927
1440	23508
4	366
0	0
1	21
167	2419
0	0
0	0
1	121
0	0
21	5389
1349	30203
0	0
841	21493
294	16000
200	9460
10	1405
603	29867
1051	25538
72	23329
22	8019
1	4275
32	7364
0	5736
1	3657
1	499
1423	30577
444	29761
20	4046
1	1565
0	0
0	0
2	5711
1513	29628
1	2698
1	78
0	2422
998	26489
535	35576
117	23055
0	0
1104	30788
931	23456
0	635
9	2732
287	25496
590	36409
594	35911
0	0
0	0
1	1272
75	7066
639	36472
5	389
81	14209
887	15677
1028	30581
0	0
197	16905
5	692
0	2184
451	21257
8	1825
644	24632
35	4313
853	16045
0	10
400	18716
1	2007
0	0
184	24627
14	4447
0	0
1	401
520	17140
43	5026
118	18400
837	36418
531	26994
0	683
176	8419
13	4051
488	6871
730	31803
0	1916
164	15803
0	4629
62	26151
718	13888
0	0
811	15424
189	24094
0	0
9	4866
731	14054
656	11907
99	23523
0	0
361	11310
67	20812
0	1042
9	6420
1	57
941	30067
101	13477
79	22258
76	24969
36	16807
379	6069
0	0
7	1314
63	23280
0	0
393	32732
125	9031
88	22509
381	26018
353	25276
65	5736
5	3681
7	1300
275	27152
1016	36963
111	14900
0	0
5	837
