real	estimada
22	343
0	0
53	232
0	0
11	339
0	100
4	47
0	0
0	0
1	106
10	285
11	284
16	339
70	405
0	0
15	284
0	0
29	385
0	0
156	636
0	0
0	0
1	7
0	0
0	0
42	440
0	0
7	210
0	0
0	0
0	0
97	339
4	37
87	594
1	4
0	30
0	0
0	19
0	0
0	0
2	100
0	0
0	0
5	262
0	0
187	673
22	252
1	125
0	0
6	94
208	699
139	604
0	0
5	235
0	0
0	0
7	236
0	0
0	99
0	65
0	0
0	0
29	361
0	0
32	372
0	0
72	456
13	395
32	420
0	23
2	100
0	0
66	419
0	0
4	261
0	0
0	0
113	513
0	102
87	475
0	0
0	0
88	522
26	240
6	112
0	0
0	0
8	289
0	0
0	0
21	133
6	248
0	99
0	100
36	423
1	100
0	0
171	748
0	33
0	0
0	0
18	150
13	150
0	3
36	99
0	29
56	224
0	0
0	29
0	99
13	287
0	0
0	0
0	0
0	0
5	246
5	264
0	0
2	80
72	528
0	0
0	0
0	0
0	39
51	227
0	0
138	478
38	413
0	0
0	0
11	353
30	452
42	378
42	398
0	0
7	192
77	487
0	0
6	230
68	226
33	416
14	280
0	0
9	229
9	319
261	900
70	466
0	0
0	100
0	0
0	0
24	380
35	422
0	0
0	0
14	278
124	633
13	241
33	445
3	46
207	704
0	0
21	327
0	0
84	270
43	376
0	0
0	73
199	798
0	0
0	19
74	563
0	2
1	12
60	526
0	0
30	467
0	0
11	105
10	291
31	77
10	412
3	11
98	324
0	0
11	451
0	30
121	492
222	778
11	124
0	0
52	481
24	204
0	98
1	9
0	78
12	271
48	490
0	0
226	825
0	0
18	306
0	0
52	522
0	0
7	223
2	168
7	194
93	474
14	370
39	213
0	88
0	30
49	435
32	393
10	343
5	257
0	0
10	145
0	0
0	40
0	99
119	538
51	282
14	163
0	0
0	99
3	105
0	0
33	397
119	608
0	0
29	354
9	222
0	0
0	0
0	0
0	100
0	0
0	66
4	53
0	0
9	293
8	30
0	0
0	0
0	0
0	0
129	592
2	101
1	3
0	0
7	186
139	600
0	0
2	164
0	0
0	0
0	34
2	77
5	148
0	0
0	29
1	21
5	266
0	0
0	1
25	225
114	501
0	0
19	302
0	0
0	15
0	0
18	290
10	426
1	4
0	0
0	100
0	0
35	379
81	481
27	77
0	0
0	0
12	268
51	500
0	0
214	693
8	399
29	447
0	0
67	403
0	0
11	299
33	303
1	1
0	99
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	57
0	100
66	548
0	99
0	0
25	330
13	279
25	339
27	448
30	340
0	99
0	0
0	30
0	0
162	651
15	245
0	0
0	73
0	99
19	274
0	0
0	0
67	518
175	672
0	0
0	0
0	0
11	260
0	0
0	0
4	102
158	601
12	215
0	0
13	270
0	0
2	30
3	5
0	0
25	351
0	0
0	12
5	118
63	387
0	0
137	598
0	0
22	303
90	459
5	264
0	0
0	45
0	0
74	551
0	0
36	401
179	690
0	0
3	117
3	49
0	0
0	0
0	0
16	278
0	100
5	233
0	0
1	5
0	0
0	0
0	0
5	263
20	412
231	800
20	314
144	582
6	265
0	0
7	219
0	0
27	334
0	30
31	97
19	285
0	0
6	213
52	486
0	0
2	62
13	136
0	0
0	3
0	0
0	0
0	87
0	0
0	0
75	521
0	0
0	0
13	233
0	0
0	0
0	0
0	0
0	0
118	489
68	535
25	305
31	465
16	313
0	10
0	96
0	0
41	154
0	0
28	394
0	100
0	0
0	0
0	0
27	398
104	521
0	0
0	99
112	518
0	0
0	0
63	491
0	0
0	0
0	0
0	0
0	0
0	0
59	240
139	582
0	0
25	206
4	19
17	305
52	343
70	474
0	0
0	0
0	0
6	273
42	401
0	100
0	0
8	258
7	274
0	0
200	783
0	19
0	0
0	0
0	0
4	320
12	299
0	0
187	648
0	0
1	4
0	0
230	730
70	519
24	187
23	417
6	189
24	316
0	2
24	323
0	8
9	165
6	171
1	7
116	442
4	243
0	0
0	0
8	212
0	0
2	12
47	467
0	0
0	0
10	185
0	0
126	372
34	482
136	469
0	0
0	18
0	0
