real	estimada
0	0
0	0
55	210
0	0
63	174
0	0
0	24
68	222
0	0
32	140
0	1
2	6
0	0
0	0
20	110
0	0
153	303
0	0
43	172
0	0
0	0
5	65
36	106
19	117
0	0
0	0
0	0
0	25
6	67
56	173
11	87
0	0
0	6
0	0
0	0
47	184
16	98
202	361
17	105
0	25
19	25
0	3
18	125
0	24
32	159
0	0
2	8
1	9
0	0
0	0
0	0
11	61
24	120
77	223
5	83
6	55
0	0
0	0
0	0
50	137
0	0
140	299
0	0
28	131
18	98
111	276
0	0
2	9
0	0
0	27
0	1
76	196
0	0
14	94
0	0
4	80
15	111
1	5
0	0
64	230
54	172
16	80
10	65
14	93
136	301
0	0
0	0
0	0
0	0
0	0
1	2
0	0
0	0
0	0
14	86
0	0
0	13
5	19
57	135
0	0
13	71
0	0
51	99
0	0
0	0
3	7
0	0
14	93
22	115
0	31
0	9
0	22
7	56
0	25
0	0
0	0
22	114
0	0
6	48
5	73
82	238
216	414
0	0
16	98
14	32
0	0
121	260
11	86
0	0
7	69
64	114
54	181
9	80
82	207
30	54
0	0
0	0
0	0
0	0
8	99
8	74
9	87
0	0
10	83
4	67
0	0
12	129
22	131
0	0
0	0
0	0
0	0
11	97
0	0
4	31
0	0
0	0
0	0
92	225
1	26
0	0
0	0
0	0
107	263
27	132
103	244
28	163
29	143
10	46
0	0
0	0
0	0
0	0
231	432
0	0
0	0
37	146
48	164
0	0
0	0
0	25
22	130
0	0
0	0
136	292
7	46
0	1
0	10
0	0
0	0
0	4
74	143
13	26
149	304
7	55
0	0
4	66
0	0
61	207
0	0
0	8
0	0
16	100
0	0
0	0
10	26
0	9
43	147
0	0
79	243
0	0
0	0
62	175
0	0
0	0
2	35
65	180
0	0
0	0
0	0
0	0
0	0
0	0
5	20
0	0
0	0
0	25
0	18
0	0
0	0
39	142
0	0
10	78
9	91
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
70	197
0	0
12	84
0	0
0	0
0	4
126	210
23	128
0	0
19	106
0	0
19	98
7	64
153	329
0	0
0	0
128	281
6	73
0	0
125	292
6	73
0	0
0	0
8	40
0	0
0	0
6	68
105	198
0	0
0	0
66	182
4	52
16	92
0	0
136	304
0	0
0	10
0	0
75	234
1	13
0	0
0	0
0	0
0	0
17	97
3	26
48	154
0	0
0	10
0	25
51	188
43	160
0	11
0	24
0	0
0	0
8	82
0	0
0	19
16	93
19	115
0	0
0	0
0	22
6	80
29	118
0	0
172	346
24	127
0	0
21	122
2	23
105	231
0	0
0	0
0	11
0	0
7	77
0	0
33	162
0	0
27	145
0	0
180	374
0	24
30	154
4	66
8	119
0	9
4	34
0	0
8	74
7	80
83	219
0	0
0	0
0	0
0	0
72	220
183	369
5	44
6	79
0	0
15	55
66	223
54	159
0	0
0	2
0	25
2	12
0	13
7	83
9	108
0	0
16	95
40	147
6	75
157	309
0	0
0	12
69	220
0	0
0	0
2	11
0	0
6	15
0	0
0	0
10	81
10	78
0	0
16	120
52	189
0	24
0	24
12	76
35	167
23	58
0	5
0	0
0	0
0	0
30	158
2	7
6	78
18	26
0	25
0	6
63	202
0	0
86	209
0	0
0	1
7	66
0	0
0	0
5	71
15	66
5	66
0	20
0	25
26	126
13	73
0	0
0	0
6	52
16	108
0	25
0	0
0	0
15	53
13	93
0	25
0	0
71	217
0	12
5	50
0	0
0	0
5	24
0	0
1	8
0	0
0	0
0	0
0	0
41	149
0	0
0	0
66	217
77	222
3	49
0	0
0	0
5	75
0	0
0	0
0	0
4	53
0	0
0	0
70	186
5	68
0	10
40	141
0	0
0	0
7	76
0	0
61	185
3	50
4	16
0	0
0	0
0	0
0	0
9	132
36	146
31	131
0	0
0	25
10	71
0	0
0	0
0	25
7	80
0	0
0	9
0	0
72	229
0	4
31	156
0	0
0	0
65	220
0	0
28	125
1	9
0	0
21	113
0	0
9	66
0	0
0	0
0	0
0	0
0	0
17	102
2	20
0	3
0	0
2	13
0	0
0	0
65	144
32	137
0	0
