real	estimada
536	67783
111	64164
1	1270
280	21919
275	56275
66	32625
0	0
2	11032
1	4396
2043	83601
1102	42582
2263	96276
93	41176
1834	70310
1970	84755
18	4736
215	26611
0	0
2640	82492
1800	69353
864	55868
1466	37802
721	13446
1740	85515
251	32840
39	1767
2146	118515
1525	117576
815	26696
50	7809
2856	60533
1777	82049
1793	76450
1138	107284
2821	65658
2	3582
183	4669
967	30841
250	45681
1	6577
103	63010
2145	120479
1	179
1	717
2	5056
624	21406
1229	45266
0	0
1274	36682
4	1069
453	73934
1	2773
1667	120119
695	96108
249	11263
1	4572
417	18177
177	46679
844	30512
0	0
527	18718
631	96753
65	6139
1473	70239
2	103
2530	91210
2713	106218
116	52180
1956	69694
572	79826
0	0
1094	60992
907	96244
0	1275
141	19557
2291	106844
1199	93358
578	23187
2294	91258
90	51396
710	88503
1	874
1	2859
1649	119958
1480	98417
1	926
0	0
72	34883
3028	74160
104	40360
101	13732
250	40634
27	13315
1170	46577
162	53460
897	109500
2136	107035
1430	44346
1164	105707
109	12707
264	63608
1132	45920
313	40320
905	66337
538	21486
971	60323
0	974
0	0
726	80578
1786	90317
19	6492
1	237
1616	51526
1087	40909
1796	64441
440	50684
0	0
1	87
109	11808
1458	64530
2583	67286
1686	86971
1929	60122
35	10767
1	3532
3194	87206
1498	54186
1	1591
2043	107038
3136	91472
94	10407
138	13663
500	21634
1627	118087
1	222
146	19989
439	52493
1032	68777
971	63615
2305	75043
4	807
2530	97386
2770	70844
63	33059
2061	103996
0	4943
125	40711
1	553
1	1027
22	8750
713	86351
245	48281
1761	82900
1	148
322	89898
449	80149
1095	95196
255	12040
1	1795
2796	90798
1313	112092
2038	103191
725	73917
3171	90420
691	44257
0	33
562	20774
1	647
2	183
702	25531
0	0
225	40346
1460	34072
2851	92216
0	0
2755	115116
11	1809
1152	44155
2401	70078
421	29307
529	19955
14	4449
2023	93077
1312	36676
1402	107454
361	17900
2804	61808
8	2469
20	5345
761	24218
461	21676
2645	78404
2906	64513
1212	55619
1180	46613
2	487
14	7186
272	12500
606	90947
1714	115049
98	8017
1861	55411
225	73606
180	29363
1691	43083
969	100532
1691	83118
1	28
1286	27955
498	29621
1	13
0	0
797	30375
6	911
1	3751
740	50477
497	17804
0	0
136	27655
139	32084
2	7704
469	95190
102	60744
1486	79885
185	7325
6	1245
2	170
1	981
2587	56610
417	18883
918	35938
248	90998
0	0
2408	67481
142	13342
1	2528
2155	67145
652	59874
737	24702
2	10829
1086	38610
433	37418
1026	75548
1036	46281
1427	117888
543	21939
631	24613
1435	67799
859	31126
1	4302
167	9877
2699	56354
567	19973
700	84168
1363	63811
47	23027
1171	99944
1581	76101
1	5790
1870	75947
2077	77496
1143	93453
57	9811
2	6927
1	3476
318	33856
30	11167
1	3856
2977	79228
844	31555
73	16560
701	46710
3028	71364
2107	91019
585	101550
51	13523
501	18213
824	68542
2733	58133
202	13783
979	37710
1693	42895
2	228
286	90647
36	14048
608	90310
843	32145
1387	42809
1626	63482
16	3075
2	4264
196	14122
14	3288
1	49
1	315
229	68391
263	61225
888	31389
106	20466
1273	48354
0	0
175	13504
0	0
2754	92920
165	24211
723	69520
6	1563
51	26809
0	0
161	16390
2	5837
7	2257
697	29334
298	75043
1	913
329	13495
524	22424
243	42346
1437	61629
2079	42817
615	67349
134	23707
2260	98305
2047	93259
2863	96830
1320	56180
2	5855
1	31
443	19150
902	67766
1	288
389	54767
1	5703
1	592
86	13725
1310	46139
5	657
0	0
733	86877
119	67356
509	21704
258	11742
0	0
1365	58203
540	21122
2182	56547
758	105215
207	11900
2	5846
377	16296
809	97676
2	10117
22	10057
119	63398
2866	93455
2676	102962
2961	88253
32	8097
223	87155
1	3456
1285	28920
43	16415
0	0
259	68502
1	4665
7	1994
9	2125
799	89695
599	24333
1831	93625
1326	57455
2913	64760
954	29822
80	16539
6	6527
0	1809
2318	84967
67	18036
401	67712
97	23860
695	72346
903	29728
2518	73122
1	267
2182	74005
2705	95741
1	5189
546	93211
158	78933
2	847
477	18403
3217	85322
1447	67042
1	2997
1	1192
2594	65136
2874	101371
398	32086
1570	119673
0	0
993	31203
290	83236
1	5721
49	4974
0	4385
1	1587
604	21559
81	9309
1	1834
1	164
0	1963
0	1391
1367	55091
2128	58311
1	269
0	0
1646	46862
1	52
0	0
254	62188
2820	59359
757	45979
4	225
2657	86647
940	35096
92	46006
1	244
344	80580
2388	113741
1575	60030
744	54893
1	4590
0	0
1369	48644
2	3847
2533	99496
812	31256
0	0
0	0
667	91390
2923	108370
527	74753
1393	109002
1	426
608	22333
1906	71852
3001	95976
266	12370
258	60534
0	11
29	12293
423	51465
88	9984
564	21693
0	0
2155	81169
144	54004
1788	87325
185	82331
107	21632
603	102079
1	139
364	23445
137	13344
269	13762
156	6585
1	270
751	27614
184	15209
1103	50209
3121	93502
1	5616
2	10547
7	1788
401	64016
934	30207
2	5516
1	4098
1184	60887
554	100525
0	0
1425	66927
0	368
27	16476
2	8488
2824	99571
1291	49319
526	18694
1	406
1743	40379
581	69438
2	191
276	69035
1791	101737
98	58617
85	42556
1025	43006
756	79626
232	57079
4	1252
